"Title: Population Distribution by Race/Ethnicity | KFF"
"Timeframe: 2017"
"Location","White","Black","Hispanic","Asian","American Indian/Alaska Native","Native Hawaiian/Other Pacific Islander","Multiple Races","Total",Footnotes
"United States","192336100","38408000","57560600","17651200","2039400","502500","8524700","317022500","1"
"Alabama","3119100","1259900","195700","63800","19800","N/A","81800","4741400"
"Alaska","433000","18000","47400","46600","95500","6300","63300","710100"
"Arizona","3761600","270200","2143400","220300","261300","12500","172000","6841300"
"Arkansas","2109200","434100","220300","48100","13500","7300","77500","2910000"
"California","14305700","2061600","15194400","5598000","138100","122900","1293200","38713900"
"Colorado","3727100","204600","1179000","171300","30300","6400","142200","5461100"
"Connecticut","2320900","336800","566200","155300","6700","N/A","92600","3478700"
"Delaware","583100","197900","85900","37300","N/A","N/A","24900","931700"
"District of Columbia","236500","301800","72500","26900","1500","N/A","18100","657600"
"Florida","11058700","3097400","5292800","571900","38400","10300","462800","20532300"
"Georgia","5349500","3130400","974200","400800","18100","N/A","241600","10121400"
"Hawaii","280000","14100","137900","517600","1300","130200","275100","1356100"
"Idaho","1381400","9500","207700","22300","17500","N/A","42100","1682100"
"Illinois","7664800","1706000","2171200","679300","10400","N/A","259900","12496600"
"Indiana","5127000","585200","448700","136100","9600","N/A","151700","6459400"
"Iowa","2616900","92800","180800","81000","7900","N/A","61500","3045600"
"Kansas","2145200","148500","335400","84300","16900","N/A","83400","2817600"
"Kentucky","3655800","339300","148500","62400","5500","N/A","92600","4307100"
"Louisiana","2669900","1444600","234300","82400","21400","N/A","88200","4541500"
"Maine","1218000","14600","20600","14100","8500","N/A","24400","1300200"
"Maryland","2988800","1720600","600300","384600","11500","2500","184600","5892900"
"Massachusetts","4746900","459100","785300","424700","9100","N/A","194800","6620600"
"Michigan","7322500","1313800","489200","299700","42800","N/A","249300","9720300"
"Minnesota","4358900","346100","285400","262800","49500","N/A","140300","5446600"
"Mississippi","1642100","1087600","79500","26800","11800","N/A","35300","2884500"
"Missouri","4716400","657900","247400","119900","21800","9100","148800","5921300"
"Montana","884600","4300","36300","6900","60100","N/A","29700","1022600"
"Nebraska","1472600","80600","203900","47000","11800","N/A","41700","1859200"
"Nevada","1441400","257000","851600","248600","26900","18500","102600","2946600"
"New Hampshire","1175300","17200","47000","35400","1100","N/A","20800","1297000"
"New Jersey","4851700","1101200","1812000","865000","9100","N/A","183400","8823900"
"New Mexico","760000","32800","998200","25800","183800","N/A","36500","2038200"
"New York","10652400","2735300","3722400","1684600","41600","4700","474700","19315700"
"North Carolina","6279300","2087600","935400","279600","106100","6200","254600","9948800"
"North Dakota","614500","21100","24500","12200","40400","N/A","12400","726000"
"Ohio","8964000","1356900","420200","249700","17200","4200","311300","11323500"
"Oklahoma","2507400","262800","400200","78400","281500","5.30E+03","268100","3803700"
"Oregon","3079800","70500","529600","181500","35300","10300","155900","4063000"
"Pennsylvania","9498700","1294800","906500","424000","12100","N/A","249900","12389100"
"Rhode Island","733300","54900","157900","35700","2800","N/A","30000","1015900"
"South Carolina","3111700","1297600","270000","73500","12600","N/A","95700","4864600"
"South Dakota","690400","17400","29800","10800","70200","N/A","18000","837000"
"Tennessee","4847000","1074900","351400","116100","13400","N/A","133900","6538200"
"Texas","11559700","3196500","10951000","1317300","69700","18400","508600","27621300"
"Utah","2392300","33000","425000","74200","27000","26600","69300","3047400"
"Vermont","559000","7000","10400","10300","N/A","N/A","12000","600200"
"Virginia","5039200","1507600","758500","533400","18100","3200","280700","8140700"
"Washington","4976100","246900","916000","617900","68600","42200","372200","7239800"
"West Virginia","1631600","64300","20400","14200","2000","N/A","28800","1762100"
"Wisconsin","4600500","328100","382000","166800","43500","N/A","120600","5643000"
"Wyoming","474400","5300","56100","4200","12100","N/A","11200","563300"
"Puerto Rico","23000","N/A","3274500","N/A","N/A","N/A","N/A","3304800"

"Notes"
"For more current data using the Current Population Survey, see [Population Distribution by Race/Ethnicity (CPS)](https://www.kff.org/other/state-indicator/population-distribution-by-race-ethnicity-cps/)."
""
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information. "
""
"Population numbers are rounded to the nearest 100."

"Sources"
"KFF estimates based on the 2008-2019 American Community Survey, 1-Year Estimates."

"Definitions"
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."
""
"Persons of Hispanic origin may be of any race; all other racial/ethnic groups are non-Hispanic."


Footnotes
"1. US total excludes Puerto Rico."
